Id,Name,Description,LetterheadHeader,LetterheadFooter
0Rn7S000000YNgKSAW,Organisation wide Letterhead,A universal letterhead that can be used in any company email,"<p><a href=""https://www.e-korepetycje.net/mkaliszewski""><u><strong><span style=""font-size:48px;""><span style=""font-family:Comic Sans MS,Arial,Helvetica,sans-serif;"">Tw&oacute;j ulubiony sklep...</span></span></strong></u><br />
<img alt=""duze"" src=""https://marcinkaliszewskiusugikorep-dev-ed.develop.file.force.com/file-asset-public/duze?oid=00D7S000000XmQp"" style=""max-width: 851.972px; width: 189px; height: 127px;"" title=""duze"" /></a></p>

<hr width=""100%"" />
<div id="""" style=""left: 21px; top: 134.8px;"">&nbsp;</div>","<br><br />
<hr width=""100%"" />
<div style=""text-align: center;""><br />
<span style=""font-size:11px;"">If you are interested in any other product, please checkout our <a href=""https://www.e-korepetycje.net/mkaliszewski"">website</a>.</span><br />
<br />
<a href=""https://www.e-korepetycje.net/mkaliszewski""><img alt=""duze"" src=""https://marcinkaliszewskiusugikorep-dev-ed.develop.file.force.com/file-asset-public/duze?oid=00D7S000000XmQp"" style=""max-width: 851.972px; width: 91px; height: 57px;"" title=""duze"" /></a> &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; <a href=""https://www.linkedin.com/in/marcin-kaliszewski-70752249/""><img alt=""linkedin_srednie"" src=""https://marcinkaliszewskiusugikorep-dev-ed.develop.file.force.com/file-asset-public/linkedin_srednie?oid=00D7S000000XmQp"" style=""max-width: 851.972px; width: 217.95px; height: 56px;"" title=""linkedin_srednie"" /></a></div>

<div id="""" style=""left: 187.2px; top: 62.6px;"">&nbsp;</div>

<div id="""" style=""left: 187.2px; top: 62.6px;"">&nbsp;</div>

<div id="""" style=""left: 256.212px; top: 97.4px;"">&nbsp;</div>

<div id="""" style=""left: 256.212px; top: 97.4px;"">&nbsp;</div>"
0Rn7S000000YPUySAO,Organisation wide Letterhead,A universal letterhead that can be used in any company email,"<p><a href=""https://www.e-korepetycje.net/mkaliszewski""><u><strong><span style=""font-size:48px;""><span style=""font-family:Comic Sans MS,Arial,Helvetica,sans-serif;"">Tw&oacute;j ulubiony sklep...</span></span></strong></u><br />
<img alt=""duze"" src=""https://marcinkaliszewskiusugikorep-dev-ed.develop.file.force.com/file-asset-public/duze?oid=00D7S000000XmQp"" style=""max-width: 851.972px; width: 189px; height: 127px;"" title=""duze"" /></a></p>

<hr width=""100%"" />
<div id="""" style=""left: 21px; top: 134.8px;"">&nbsp;</div>","<br><br />
<hr width=""100%"" />
<div style=""text-align: center;""><br />
<span style=""font-size:11px;"">If you are interested in any other product, please checkout our <a href=""https://www.e-korepetycje.net/mkaliszewski"">website</a>.</span><br />
<br />
<a href=""https://www.e-korepetycje.net/mkaliszewski""><img alt=""duze"" src=""https://marcinkaliszewskiusugikorep-dev-ed.develop.file.force.com/file-asset-public/duze?oid=00D7S000000XmQp"" style=""max-width: 851.972px; width: 91px; height: 57px;"" title=""duze"" /></a> &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; <a href=""https://www.linkedin.com/in/marcin-kaliszewski-70752249/""><img alt=""linkedin_srednie"" src=""https://marcinkaliszewskiusugikorep-dev-ed.develop.file.force.com/file-asset-public/linkedin_srednie?oid=00D7S000000XmQp"" style=""max-width: 851.972px; width: 217.95px; height: 56px;"" title=""linkedin_srednie"" /></a></div>

<div id="""" style=""left: 187.2px; top: 62.6px;"">&nbsp;</div>

<div id="""" style=""left: 187.2px; top: 62.6px;"">&nbsp;</div>

<div id="""" style=""left: 256.212px; top: 97.4px;"">&nbsp;</div>

<div id="""" style=""left: 256.212px; top: 97.4px;"">&nbsp;</div>"
0Rn7S000000YPUzSAO,Organisation wide Letterhead,A universal letterhead that can be used in any company email,"<p><a href=""https://www.e-korepetycje.net/mkaliszewski""><u><strong><span style=""font-size:48px;""><span style=""font-family:Comic Sans MS,Arial,Helvetica,sans-serif;"">Tw&oacute;j ulubiony sklep...</span></span></strong></u><br />
<img alt=""duze"" src=""https://marcinkaliszewskiusugikorep-dev-ed.develop.file.force.com/file-asset-public/duze?oid=00D7S000000XmQp"" style=""max-width: 851.972px; width: 189px; height: 127px;"" title=""duze"" /></a></p>

<hr width=""100%"" />
<div id="""" style=""left: 21px; top: 134.8px;"">&nbsp;</div>","<br><br />
<hr width=""100%"" />
<div style=""text-align: center;""><br />
<span style=""font-size:11px;"">If you are interested in any other product, please checkout our <a href=""https://www.e-korepetycje.net/mkaliszewski"">website</a>.</span><br />
<br />
<a href=""https://www.e-korepetycje.net/mkaliszewski""><img alt=""duze"" src=""https://marcinkaliszewskiusugikorep-dev-ed.develop.file.force.com/file-asset-public/duze?oid=00D7S000000XmQp"" style=""max-width: 851.972px; width: 91px; height: 57px;"" title=""duze"" /></a> &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; <a href=""https://www.linkedin.com/in/marcin-kaliszewski-70752249/""><img alt=""linkedin_srednie"" src=""https://marcinkaliszewskiusugikorep-dev-ed.develop.file.force.com/file-asset-public/linkedin_srednie?oid=00D7S000000XmQp"" style=""max-width: 851.972px; width: 217.95px; height: 56px;"" title=""linkedin_srednie"" /></a></div>

<div id="""" style=""left: 187.2px; top: 62.6px;"">&nbsp;</div>

<div id="""" style=""left: 187.2px; top: 62.6px;"">&nbsp;</div>

<div id="""" style=""left: 256.212px; top: 97.4px;"">&nbsp;</div>

<div id="""" style=""left: 256.212px; top: 97.4px;"">&nbsp;</div>"
0Rn7S000000YPUtSAO,Organisation wide Letterhead,A universal letterhead that can be used in any company email,"<p><a href=""https://www.e-korepetycje.net/mkaliszewski""><u><strong><span style=""font-size:48px;""><span style=""font-family:Comic Sans MS,Arial,Helvetica,sans-serif;"">Tw&oacute;j ulubiony sklep...</span></span></strong></u><br />
<img alt=""duze"" src=""https://marcinkaliszewskiusugikorep-dev-ed.develop.file.force.com/file-asset-public/duze?oid=00D7S000000XmQp"" style=""max-width: 851.972px; width: 189px; height: 127px;"" title=""duze"" /></a></p>

<hr width=""100%"" />
<div id="""" style=""left: 21px; top: 134.8px;"">&nbsp;</div>","<br><br />
<hr width=""100%"" />
<div style=""text-align: center;""><br />
<span style=""font-size:11px;"">If you are interested in any other product, please checkout our <a href=""https://www.e-korepetycje.net/mkaliszewski"">website</a>.</span><br />
<br />
<a href=""https://www.e-korepetycje.net/mkaliszewski""><img alt=""duze"" src=""https://marcinkaliszewskiusugikorep-dev-ed.develop.file.force.com/file-asset-public/duze?oid=00D7S000000XmQp"" style=""max-width: 851.972px; width: 91px; height: 57px;"" title=""duze"" /></a> &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; <a href=""https://www.linkedin.com/in/marcin-kaliszewski-70752249/""><img alt=""linkedin_srednie"" src=""https://marcinkaliszewskiusugikorep-dev-ed.develop.file.force.com/file-asset-public/linkedin_srednie?oid=00D7S000000XmQp"" style=""max-width: 851.972px; width: 217.95px; height: 56px;"" title=""linkedin_srednie"" /></a></div>

<div id="""" style=""left: 187.2px; top: 62.6px;"">&nbsp;</div>

<div id="""" style=""left: 187.2px; top: 62.6px;"">&nbsp;</div>

<div id="""" style=""left: 256.212px; top: 97.4px;"">&nbsp;</div>

<div id="""" style=""left: 256.212px; top: 97.4px;"">&nbsp;</div>"
Id,Name,Description,LetterheadHeader,LetterheadFooter
0Rn7S000000YNgKSAW,Organisation wide Letterhead,A universal letterhead that can be used in any company email,"<p><a href=""https://www.e-korepetycje.net/mkaliszewski""><u><strong><span style=""font-size:48px;""><span style=""font-family:Comic Sans MS,Arial,Helvetica,sans-serif;"">Tw&oacute;j ulubiony sklep...</span></span></strong></u><br />
<img alt=""duze"" src=""https://marcinkaliszewskiusugikorep-dev-ed.develop.file.force.com/file-asset-public/duze?oid=00D7S000000XmQp"" style=""max-width: 851.972px; width: 189px; height: 127px;"" title=""duze"" /></a></p>

<hr width=""100%"" />
<div id="""" style=""left: 21px; top: 134.8px;"">&nbsp;</div>","<br><br />
<hr width=""100%"" />
<div style=""text-align: center;""><br />
<span style=""font-size:11px;"">If you are interested in any other product, please checkout our <a href=""https://www.e-korepetycje.net/mkaliszewski"">website</a>.</span><br />
<br />
<a href=""https://www.e-korepetycje.net/mkaliszewski""><img alt=""duze"" src=""https://marcinkaliszewskiusugikorep-dev-ed.develop.file.force.com/file-asset-public/duze?oid=00D7S000000XmQp"" style=""max-width: 851.972px; width: 91px; height: 57px;"" title=""duze"" /></a> &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; <a href=""https://www.linkedin.com/in/marcin-kaliszewski-70752249/""><img alt=""linkedin_srednie"" src=""https://marcinkaliszewskiusugikorep-dev-ed.develop.file.force.com/file-asset-public/linkedin_srednie?oid=00D7S000000XmQp"" style=""max-width: 851.972px; width: 217.95px; height: 56px;"" title=""linkedin_srednie"" /></a></div>

<div id="""" style=""left: 187.2px; top: 62.6px;"">&nbsp;</div>

<div id="""" style=""left: 187.2px; top: 62.6px;"">&nbsp;</div>

<div id="""" style=""left: 256.212px; top: 97.4px;"">&nbsp;</div>

<div id="""" style=""left: 256.212px; top: 97.4px;"">&nbsp;</div>"
0Rn7S000000YPUySAO,Organisation wide Letterhead,A universal letterhead that can be used in any company email,"<p><a href=""https://www.e-korepetycje.net/mkaliszewski""><u><strong><span style=""font-size:48px;""><span style=""font-family:Comic Sans MS,Arial,Helvetica,sans-serif;"">Tw&oacute;j ulubiony sklep...</span></span></strong></u><br />
<img alt=""duze"" src=""https://marcinkaliszewskiusugikorep-dev-ed.develop.file.force.com/file-asset-public/duze?oid=00D7S000000XmQp"" style=""max-width: 851.972px; width: 189px; height: 127px;"" title=""duze"" /></a></p>

<hr width=""100%"" />
<div id="""" style=""left: 21px; top: 134.8px;"">&nbsp;</div>","<br><br />
<hr width=""100%"" />
<div style=""text-align: center;""><br />
<span style=""font-size:11px;"">If you are interested in any other product, please checkout our <a href=""https://www.e-korepetycje.net/mkaliszewski"">website</a>.</span><br />
<br />
<a href=""https://www.e-korepetycje.net/mkaliszewski""><img alt=""duze"" src=""https://marcinkaliszewskiusugikorep-dev-ed.develop.file.force.com/file-asset-public/duze?oid=00D7S000000XmQp"" style=""max-width: 851.972px; width: 91px; height: 57px;"" title=""duze"" /></a> &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; <a href=""https://www.linkedin.com/in/marcin-kaliszewski-70752249/""><img alt=""linkedin_srednie"" src=""https://marcinkaliszewskiusugikorep-dev-ed.develop.file.force.com/file-asset-public/linkedin_srednie?oid=00D7S000000XmQp"" style=""max-width: 851.972px; width: 217.95px; height: 56px;"" title=""linkedin_srednie"" /></a></div>

<div id="""" style=""left: 187.2px; top: 62.6px;"">&nbsp;</div>

<div id="""" style=""left: 187.2px; top: 62.6px;"">&nbsp;</div>

<div id="""" style=""left: 256.212px; top: 97.4px;"">&nbsp;</div>

<div id="""" style=""left: 256.212px; top: 97.4px;"">&nbsp;</div>"
0Rn7S000000YPUzSAO,Organisation wide Letterhead,A universal letterhead that can be used in any company email,"<p><a href=""https://www.e-korepetycje.net/mkaliszewski""><u><strong><span style=""font-size:48px;""><span style=""font-family:Comic Sans MS,Arial,Helvetica,sans-serif;"">Tw&oacute;j ulubiony sklep...</span></span></strong></u><br />
<img alt=""duze"" src=""https://marcinkaliszewskiusugikorep-dev-ed.develop.file.force.com/file-asset-public/duze?oid=00D7S000000XmQp"" style=""max-width: 851.972px; width: 189px; height: 127px;"" title=""duze"" /></a></p>

<hr width=""100%"" />
<div id="""" style=""left: 21px; top: 134.8px;"">&nbsp;</div>","<br><br />
<hr width=""100%"" />
<div style=""text-align: center;""><br />
<span style=""font-size:11px;"">If you are interested in any other product, please checkout our <a href=""https://www.e-korepetycje.net/mkaliszewski"">website</a>.</span><br />
<br />
<a href=""https://www.e-korepetycje.net/mkaliszewski""><img alt=""duze"" src=""https://marcinkaliszewskiusugikorep-dev-ed.develop.file.force.com/file-asset-public/duze?oid=00D7S000000XmQp"" style=""max-width: 851.972px; width: 91px; height: 57px;"" title=""duze"" /></a> &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; <a href=""https://www.linkedin.com/in/marcin-kaliszewski-70752249/""><img alt=""linkedin_srednie"" src=""https://marcinkaliszewskiusugikorep-dev-ed.develop.file.force.com/file-asset-public/linkedin_srednie?oid=00D7S000000XmQp"" style=""max-width: 851.972px; width: 217.95px; height: 56px;"" title=""linkedin_srednie"" /></a></div>

<div id="""" style=""left: 187.2px; top: 62.6px;"">&nbsp;</div>

<div id="""" style=""left: 187.2px; top: 62.6px;"">&nbsp;</div>

<div id="""" style=""left: 256.212px; top: 97.4px;"">&nbsp;</div>

<div id="""" style=""left: 256.212px; top: 97.4px;"">&nbsp;</div>"
0Rn7S000000YPUtSAO,Organisation wide Letterhead,A universal letterhead that can be used in any company email,"<p><a href=""https://www.e-korepetycje.net/mkaliszewski""><u><strong><span style=""font-size:48px;""><span style=""font-family:Comic Sans MS,Arial,Helvetica,sans-serif;"">Tw&oacute;j ulubiony sklep...</span></span></strong></u><br />
<img alt=""duze"" src=""https://marcinkaliszewskiusugikorep-dev-ed.develop.file.force.com/file-asset-public/duze?oid=00D7S000000XmQp"" style=""max-width: 851.972px; width: 189px; height: 127px;"" title=""duze"" /></a></p>

<hr width=""100%"" />
<div id="""" style=""left: 21px; top: 134.8px;"">&nbsp;</div>","<br><br />
<hr width=""100%"" />
<div style=""text-align: center;""><br />
<span style=""font-size:11px;"">If you are interested in any other product, please checkout our <a href=""https://www.e-korepetycje.net/mkaliszewski"">website</a>.</span><br />
<br />
<a href=""https://www.e-korepetycje.net/mkaliszewski""><img alt=""duze"" src=""https://marcinkaliszewskiusugikorep-dev-ed.develop.file.force.com/file-asset-public/duze?oid=00D7S000000XmQp"" style=""max-width: 851.972px; width: 91px; height: 57px;"" title=""duze"" /></a> &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; <a href=""https://www.linkedin.com/in/marcin-kaliszewski-70752249/""><img alt=""linkedin_srednie"" src=""https://marcinkaliszewskiusugikorep-dev-ed.develop.file.force.com/file-asset-public/linkedin_srednie?oid=00D7S000000XmQp"" style=""max-width: 851.972px; width: 217.95px; height: 56px;"" title=""linkedin_srednie"" /></a></div>

<div id="""" style=""left: 187.2px; top: 62.6px;"">&nbsp;</div>

<div id="""" style=""left: 187.2px; top: 62.6px;"">&nbsp;</div>

<div id="""" style=""left: 256.212px; top: 97.4px;"">&nbsp;</div>

<div id="""" style=""left: 256.212px; top: 97.4px;"">&nbsp;</div>"
